 sigla_partido | votos_registrados | deputados_votantes | votacoes 
 AVANTE        | veiculados                    |          1
 AVANTE        | vereadores                    |          1
 AVANTE        | vestiário                     |          1
 AVANTE        | viabilidade                   |          1
 AVANTE        | vicepresidente                |          1
 AVANTE        | vicepresidentes               |          1
 AVANTE        | vídeo                         |          1
 AVANTE        | vídeos                        |          1
 AVANTE        | vinculação                    |          1
 AVANTE        | vínculo                       |          1
 AVANTE        | vingren                       |          1
 AVANTE        | visita                        |          1
 AVANTE        | visível                       |          1
 AVANTE        | voltada                       |          1
 AVANTE        | voltado                       |          1
 AVANTE        | voluntária                    |          1
 AVANTE        | vossa                         |          1
 AVANTE        | votação                       |          1
 AVANTE        | vulnerável                    |          1
 AVANTE        | responsabilização             |          1
 AVANTE        | 201                           |          1
 AVANTE        | 2015                          |          1
 AVANTE        | 2017                          |          1
 AVANTE        | 2021                          |          1
 AVANTE        | 20232027                      |          1
 AVANTE        | 20602024                      |          1
 AVANTE        | 214                           |          1
 AVANTE        | 2192026                       |          1
 AVANTE        | 2212019                       |          1
 AVANTE        | 22822023                      |          1
