deputy_id;name;party;valid_votes;missing_votes;kept_after_filter;reason_if_removed
220639;Guilherme Boulos;PSOL;647;4;True;
220640;Juliana Cardoso;PT;806;2;True;
220641;Rodrigo Gambale;PODE;907;1;True;
220642;Delegado Bruno Lima;PODE;566;2;True;
220643;Sônia Guajajara;PSOL;35;0;True;
220644;Rosangela Moro;UNIAO;925;2;True;
220645;Erika Hilton;PSOL;706;3;True;
220646;Felipe Becari;PODE;641;0;True;
220647;Mauricio Neves;PP;569;0;True;
220648;Marangoni;UNIAO;740;0;True;
220649;Delegado da Cunha;UNIAO;728;0;True;
220650;Paulo Alexandre Barbosa;PSDB;860;1;True;
220651;Simone Marquetto;MDB;671;0;True;
220652;Delegado Palumbo;PODE;1001;1;True;
220653;Fábio Teruel;MDB;881;2;True;
220654;Delegado Paulo Bilynskyj;PL;1038;74;True;
220655;Mario Frias;PL;695;71;True;
220656;Fernanda Pessoa;PSD;930;0;True;
220657;André Fernandes;PL;715;35;True;
220658;Luiz Gastão;PSD;782;1;True;
220659;Dayany Bittencourt;UNIAO;834;0;True;
220660;Yury do Paredão;MDB;636;0;True;
220661;Matheus Noronha;PL;720;9;True;
220662;Lucas Ramos;PSB;912;0;True;
220663;Eriberto Medeiros;PSB;834;0;True;
220664;Guilherme Uchoa;PSD;860;0;True;
220665;Clarissa Tércio;PP;814;0;True;
220666;Coronel Meira;PL;958;68;True;
220667;Pedro Campos;PSB;937;3;True;
220668;Maria Arraes;PSB;969;1;True;
220669;Lula da Fonte;PP;773;29;True;
220670;Iza Arruda;MDB;761;0;True;
220671;Dilvanda Faro;PT;908;5;True;
220672;Henderson Pinto;MDB;789;0;True;
220673;Delegado Caveira;PL;812;56;True;
220674;Dra. Alessandra Haber;PODE;592;0;True;
220675;Antônio Doido;MDB;843;0;True;
220676;Andreia Siqueira;MDB;731;0;True;
220677;Keniston Braga;MDB;772;0;True;
220681;Fábio Macedo;PODE;664;5;True;
220682;Tadeu Veneri;PT;844;1;True;
220683;Beto Richa;PSDB;943;1;True;
220684;Tião Medeiros;PP;732;3;True;
220685;Paulo Litro;PSD;859;0;True;
220686;Duarte Jr.;AVANTE;933;4;True;
220687;Márcio Honaiser;PDT;743;21;True;
220688;Dr. Francisco;PT;901;2;True;
220689;Detinha;PL;488;12;True;
220690;Capitão Alden;PL;917;69;True;
220691;Diego Coronel;REPUBLICANOS;953;2;True;
220692;Dal Barreto;UNIAO;752;8;True;
220693;Roberta Roma;PL;684;35;True;
220694;Ricardo Maia;MDB;813;0;True;
220695;Rogéria Santos;REPUBLICANOS;812;2;True;
220696;Ivoneide Caetano;PT;884;2;True;
220697;Jadyel Alencar;REPUBLICANOS;695;1;True;
220698;Beto Preto;PSD;111;2;True;
220699;Castro Neto;PSD;803;0;True;
220700;Florentino Neto;PT;830;3;True;
220701;Delegado Matheus Laiola;UNIAO;948;0;True;
220702;Geraldo Mendes;UNIAO;631;1;True;
220703;Neto Carletto;AVANTE;864;0;True;
220704;Carol Dartora;PT;655;0;True;
220705;Deltan Dallagnol;PODE;75;0;True;
220706;Padovani;UNIAO;482;0;True;
220707;Amanda Gentil;PP;609;2;True;
220708;Gabriel Nunes;PSD;940;0;True;
220712;Fausto Jr.;UNIAO;684;0;True;
220713;Saullo Vianna;MDB;475;0;True;
220714;Adail Filho;MDB;927;0;True;
220715;Amom Mandel;CIDADANIA;678;0;True;
221148;Alfredinho;PT;948;3;True;
221328;Adilson Barroso;PL;776;77;True;
221329;Ricardo Abrão;PSDB;443;0;True;
221338;Professora Luciene Cavalcante;PSOL;926;3;True;
221339;Dr. Benjamim;UNIAO;404;0;True;
